airport_icao,airport_iata,airport_name,latitude,longitude,country_iso,country
SNDV,DIQ,Divinopolis,-20.18147,-44.870045,BR,Brazil
SNGI,GNM,Guanambi,-14.3,-42.783333,BR,Brazil
SNPD,POJ,Patos De Minas,-18.672915,-46.491925,BR,Brazil
SNTF,TXF,Teixeira de Freitas Airport,-7.133333,-37.183334,BR,Brazil
SNVB,VAL,Valenca,-13.333333,-39.083332,BR,Brazil
SOCA,CAY,Felix Eboue Airport,4.820737,-52.363057,GF,French Guiana
SPJC,LIM,Jorge Chavez International Airport,-12.021783,-77.111238,PE,Peru
SSGG,GPB,Tancredo Thomaz Faria,-25.333332,-51.5,BR,Brazil
SSKW,OAL,Cacoal Airport,-11.433889,-61.4825,BR,Brazil
SULS,PDP,Capitan de Corbeta Carlos A. Curbelo International Airport,-34.914444,-54.919167,UY,Uruguay
SUMU,MVD,Carrasco International Airport,-34.830432,-56.022014,UY,Uruguay
SWEI,ERN,Eirunepe,-6.583333,-69.88333,BR,Brazil
SWLC,RVD,Rio Verde Airport,-17.716667,-50.933334,BR,Brazil
SWPI,PIN,Parintins,-2.67318,-56.777271,BR,Brazil
TJSJ,SJU,Luis Munoz Marin International Airport,18.443199,-65.99743,PR,Puerto Rico
TNCC,CUR,Curacao International Airport,12.189029,-68.962161,CW,Curaçao
ZBAA,PEK,Beijing Capital International Airport,40.079156,116.59426,CN,China
ZSHC,HGH,Hangzhou Xiaoshan International Airport,30.236873,120.429124,CN,China
ZSQD,TAO,Qingdao Liuting International Airport,36.267991,120.376793,CN,China
KPVG,NO IATA,Hampton Roads Executive Airport,36.780278,-76.448889,US,United States
SBFE,FEC,Feira de Santana Airport,-12.200556,-38.906389,BR,Brazil
SBQV,NO IATA,Pedro Otacílio Figueiredo Airport,14.863611,-40.863056,BR,Brazil
SNGV,GVR,Aeroporto Coronel Altino Machado,-18.8968,-41.9861,BR,Brazil
SSPB,PTO,Pato Branco Airport,-26.217222,-52.694444,BR,Brazil
SSZW,PGZ,Ponta Grossa Airport,25.1947,50.1441,BR,Brazil
SWJI,JPR,Ji-Paraná Airport,10.870556,-61.846667,BR,Brazil
SWKN,CLV,Caldas Novas Airport,17.725,48.606389,BR,Brazil
SWKQ,NO IATA,Serra da Capivara Airport,9.083333,-42.644722,BR,Brazil
SWSI,OPS,Presidente João Batista Figueiredo Airport,-11.885,-55.586111,BR,Brazil
